date,steps,minutes,steps_per_min,percent of goal
9/26/2015,4103,43,95,41%
9/27/2015,3297,35,94,33%
9/28/2015,2789,30,93,28%
9/29/2015,4790,51,94,48%
9/30/2015,4639,44,105,46%
10/1/2015,1448,15,97,14%
10/2/2015,4661,49,95,47%
10/3/2015,4057,40,101,41%
10/4/2015,4447,43,103,44%
10/5/2015,4573,47,97,46%
10/6/2015,4830,50,97,48%
10/7/2015,5685,56,102,57%
10/8/2015,1952,20,98,20%
10/9/2015,12052,124,97,121%
10/10/2015,5112,52,98,51%
10/11/2015,4615,47,98,46%
10/12/2015,3726,37,101,37%
10/13/2015,4178,43,97,42%
10/14/2015,4791,48,100,48%
10/15/2015,1958,21,93,20%
10/16/2015,3282,34,97,33%
10/17/2015,6983,70,100,70%
10/18/2015,4609,48,96,46%
10/19/2015,2617,28,93,26%
10/20/2015,6629,62,107,66%
10/21/2015,5284,53,100,53%
10/22/2015,3745,38,99,37%
10/23/2015,16758,161,104,168%
10/24/2015,5264,52,101,53%
10/25/2015,7434,73,102,74%
10/26/2015,4173,43,97,42%
10/27/2015,3062,32,96,31%
10/28/2015,2184,21,104,22%
10/29/2015,2211,23,96,22%
10/30/2015,4301,43,100,43%
10/31/2015,7456,70,107,75%
11/1/2015,4878,49,100,49%
11/2/2015,3026,31,98,30%
11/3/2015,2757,28,98,28%
11/4/2015,2326,25,93,23%
11/5/2015,1666,17,98,17%
11/6/2015,3749,39,96,37%
11/7/2015,2909,31,94,29%
11/8/2015,5545,58,96,55%
11/9/2015,3679,38,97,37%
11/10/2015,2780,29,96,28%
11/11/2015,8085,79,102,81%
11/12/2015,3187,32,100,32%
11/13/2015,6248,63,99,62%
11/14/2015,6587,67,98,66%
11/15/2015,2619,27,97,26%
11/16/2015,2721,27,101,27%
11/17/2015,3216,31,104,32%
11/18/2015,2180,21,104,22%
11/19/2015,2487,24,104,25%
11/20/2015,3668,37,99,37%
11/21/2015,3469,36,96,35%
11/22/2015,3807,39,98,38%
11/23/2015,4368,43,102,44%
11/24/2015,3144,32,98,31%
11/25/2015,3406,34,100,34%
11/26/2015,4941,52,95,49%
11/27/2015,12677,113,112,127%
11/28/2015,3467,38,91,35%
11/29/2015,6544,59,111,65%
11/30/2015,4235,44,96,42%
12/1/2015,3626,37,98,36%
12/2/2015,2322,25,93,23%
12/3/2015,1765,18,98,18%
12/4/2015,157,1,157,2%
12/5/2015,5749,50,115,57%
12/6/2015,3734,38,98,37%
12/7/2015,2208,22,100,22%
12/8/2015,2544,27,94,25%
12/9/2015,1141,12,95,11%
12/10/2015,1993,18,111,20%
12/11/2015,3923,39,101,39%
12/12/2015,5401,56,96,54%
12/13/2015,4262,44,97,43%
12/14/2015,5322,54,99,53%
12/15/2015,1920,20,96,19%
12/16/2015,2193,24,91,22%
12/17/2015,1669,18,93,17%
12/18/2015,3964,39,102,40%
12/19/2015,5606,55,102,56%
12/20/2015,2316,25,93,23%
12/21/2015,4971,49,101,50%
12/22/2015,3607,39,92,36%
12/23/2015,3955,43,92,40%
12/24/2015,8681,85,102,87%
12/25/2015,7082,77,92,71%
12/26/2015,4718,50,94,47%
12/27/2015,6976,67,104,70%
12/28/2015,6076,56,109,61%
12/29/2015,1593,17,94,16%
12/30/2015,5674,55,103,57%
12/31/2015,6939,70,99,69%
1/1/2016,8446,84,101,84%
1/2/2016,10910,116,94,109%
1/3/2016,3729,39,96,37%
1/4/2016,3362,34,99,34%
1/5/2016,2609,27,97,26%
1/6/2016,3301,34,97,33%
1/7/2016,2680,27,99,27%
1/8/2016,2983,29,103,30%
1/9/2016,7001,74,95,70%
1/10/2016,5806,58,100,58%
1/11/2016,7638,76,101,76%
1/12/2016,11433,0,0,114%
1/13/2016,6814,0,0,68%
1/14/2016,2766,0,0,28%
1/15/2016,8310,0,0,83%
1/16/2016,9564,0,0,96%
1/17/2016,11975,0,0,120%
1/18/2016,0,0,0,0%
1/19/2016,0,0,0,0%
1/20/2016,0,0,0,0%
1/21/2016,0,0,0,0%
1/22/2016,0,0,0,0%
1/23/2016,0,0,0,0%
1/24/2016,0,0,0,0%
1/25/2016,0,0,0,0%
1/26/2016,0,0,0,0%
1/27/2016,0,0,0,0%
1/28/2016,0,0,0,0%
1/29/2016,0,0,0,0%
1/30/2016,0,0,0,0%
1/31/2016,0,0,0,0%
